msno,city,bd,gender,registered_via,registration_init_time
oGl0QazM99jdi22aFpajBznNf/Hiydrxr3SdzyQWPS0=,1,0,,7,20170116
fTgzljZv3iNvsT+nRTAE9u+wKTYAegXL6MWJbeeeupY=,1,0,,7,20170212
tfBztB7X3cPLiwQqxz8v9ENs3X3DggoCSWuVQN244WQ=,1,0,,9,20161229
717dqeLc6TItASIhyrkz3V90DO5wS0c5ZlEtiGs7foQ=,1,0,,7,20170204
y2Zo3ve8P19/e/6m3BaQ3612Z33grxwjqDE8BV3DPb8=,6,19,female,9,20070823
yX5+R12PKUNcnk/TJEZlOTJ7VEsEk3AfK771BdD7FAM=,1,0,,7,20150904
tleAymmdxVw7Q265dWBiHLRd2gj0fyNhCvLwgxjKiEI=,4,29,male,9,20141125
NMcy1obWd5r6TSRuW9hMosyus08Ir8vxeyIYSUh2254=,1,0,,7,20141211
aOfsBG4FD6STaA+HDl7V+oui5YF1snkUH+w/1vafLNU=,1,0,,9,20141215
5ypMYtAnDlh2aPViz5HlV7ox7pmw4mKwGNMtppM1WHw=,1,0,,7,20120823
Om6DZodLBLf+FwOEk5IltTstoHD0LD5SL6qMZMyRmSU=,1,0,,7,20120829
wO0ogfMuQEN0WVlCQ6jcuWtBLyggrNa2xSVBN8MdwRM=,9,25,male,9,20120914
5tkp5NF/Tlhl/XPQEcscyu0NakWctS2msfbOqGSjm5A=,1,0,,9,20150420
4PyWvd8nWTFun87YnDdE/jDXCE/DADPcSUamnAOT3Zk=,5,33,male,3,20121116
2MK6HoQ7TZCd+BjGnKOEysuzfwgz1TbZwnnqW17RndQ=,1,0,,7,20160529
HN5BbCoYUmKZ7BfzevD/z1oXp78xwayH1JQAbrWhwRU=,15,17,male,4,20160625
gEjdYP2GTELWuvNRoF8i0Ndfc4aqLRUHTQJU4d96ZDA=,16,33,female,9,20050628
FFCPaxusc4tYPYvPit//DuAORF42z22OOc4Hp6hNFUo=,14,26,male,9,20070711
Dhnq3eU0PPt/JnNvV+YxrQez3MBFH1dmXfrDmG5lKag=,8,0,,4,20160406
elpLESRwjXMBUVSSYJedtUfa4kPNwqSQRQzIe6CMqCo=,5,22,male,4,20170107
qbgEascZhttPU12rGQHkJCL5YyCMc3QKa09iEdtyeu0=,1,0,,7,20170122
z8WB3sX4TrowU2tAAuSYwZNPJB/AAd4Bhb32yAdHvps=,1,0,,7,20170126
RWQkU7+Bj/wnvfHYncgdq2mlq8Ba8L/xQPw47gx2NRw=,1,0,,7,20111009
OYY1esKJMZcSgZegXdK5KJFK1m4KNERUngcS/8B2Wbk=,13,41,female,9,20100815
LjCEFzhWbW3cYGZuWz40xilT/Nr1vmdiFc+ZppEec4I=,4,28,,7,20100921
hVY1uovIgU/G5+efOUEQ+n9P38GxAF2ihC+Utbqqzfo=,1,0,,7,20120104
KvIcqcdTogIYNZVAtnY8+/EoApnE3qN/S3hK2JQmoaM=,5,18,male,3,20150110
iGaHTrAfewwtf25ONHyvWI2ILJk4G79ShZ3ZQ4pzYdg=,5,32,male,7,20140829
bsTV2Jx7mNeta6XOWkt5bOU5Y0mtPX+OuVnPOlDO1xM=,1,0,,7,20170215
0GDIiFKxkTPgtTtpMBM/pMC8UL5gcY3yn0Fk5X1XLis=,1,0,,7,20170215
Cmwc50DjhAwdaCwfC8TtS8ataxMQosoActnPaBo+OV0=,1,0,,7,20110511
3E/8PRZHT+d++Bvb/87arvly6xZQ3AtUroihDPg0oDE=,13,23,female,9,20110531
WOQ8e4LwWZr3hawIWHAft9GIvOiBourctHBXrxA24u8=,15,27,female,9,20110607
aQogXUVe7IO1eXhhmbTZmPREYXNlvMCJo4SbKzQE3/c=,4,36,male,3,20140220
BmWq8y58oiTxvd/EhNG8R5fukOt51EVb8ZdlHobIBGM=,1,0,,3,20140310
yeQ2W0+HK/ARXVxfyhOrINpYvZ/lvl3mL+pmljJnvSc=,1,0,,7,20141229
KNspZidxMfTMWJIAEHKn0Wg1FoDilxaU95cR8eTRnQQ=,11,30,male,9,20040726
oQA05y2JqS2S3TOjfOyUHYboKOcR+kU+v1ujrbrQllk=,1,0,,7,20151009
voskwYtKTmad7cNeCOr5zA6KZeFH6o+zCV7rnQmNyjA=,1,0,,7,20120207
jZxNr3cTNvMrLnys7+pTmGd1atN0f+3OGvJtrL/PPDU=,1,0,,7,20120425
QZ+ILtFRMdELg2udXGgR9MZW5rt7VhXt6gFOiYZMieQ=,1,0,,7,20120607
2PwRh3JezQawKZGmXxkPdWbx2B6JKw0KzFl8ci4exMg=,5,39,female,3,20161116
kNYIlmm/+dQq/2GMqC0XcGUImIC6evB8szwmCFJZj24=,13,33,male,9,20161119
JfyRcIBFf65m4BsJczqVAUELPYoBihpM9noJ2FrQXgY=,1,23,male,4,20161214
C7GhSqfIFFaxPA6aH/OOaKY8uBDqpL/ImBYiCLmhZ8Q=,13,26,female,9,20090508
Pta34a+6EM+mzUkMVsBI6dOUHU36GtvjzUF9SjKt3KY=,12,28,female,7,20161212
wCLcuN5/yARaPa5dKP8JxpUfmQtAbqdxa2MXVhJEMZI=,4,28,female,3,20130914
98jP25LFjuGzfwWHMBSwDaVzLRlvbnUqDMmWNDvNAU8=,1,0,,7,20161124
lt2TQhN0sRKn1tgD8zOaeQiNBdw0GwX4qgUiYan6wbI=,1,0,,7,20161205
06hpMcf7IQpd/TYlqFYi72qfcuOb8HV9f2klzXYb5d8=,1,0,,7,20161211
X+mpA7InNV8xGWh37MMMIAXOHAvKM2jUVSuOW9Pfqes=,1,0,,7,20170203
fERXQ6B8IaQaM3s0/LUniUmYs/14rYPT/+9htKxgcz8=,4,39,female,9,20060810
ag+ddSRYllt691mxWgEwgRbQ5vOup9rMEGyX4b6rE+k=,5,0,,3,20121123
4Pn6+peTfmrJqR9ZzuRjgituAeuo+BBCZ/aAIf/k97o=,1,25,female,3,20150409
nXxa6S6lu5fCC5EaMngXEY7mNououcB5os//JGwIVoM=,21,25,female,3,20130127
tflwtgZThiXz/EU9GkismoyPJD4AcYLiNPuTNCLNpNo=,1,0,,7,20170119
syTebVsByR7JzVKU+gSIcCaPG0zOBilgjR3dA0Mm9n0=,1,0,,7,20170125
IkQ6jXysQBqMVWBt6jEOOQAixGQhL6NXPLFQll7+4J0=,1,0,,7,20170216
4DxPpyVqs0bLyRolg/Fbt1LDSe0q2MDRDcmBeEXjT/k=,1,0,,7,20141127
wovIcF5vRgyCKcEadIaq/2cG3eWB6olmkEOYYZoGFVg=,1,0,,7,20160826
Ew3X1TkbAg4k0VHQYSemh/fcquHDhLSlptfL6hlJGnc=,1,0,,7,20160828
NJvWBhR4ZEvFReA0WWrYD4y3dNk1spx9RDiZbX2bbJ8=,1,0,,7,20170103
GinropogOTp6E6P/XvRUpFjk7Z7qY5+eqA0B+k79u1c=,1,0,,4,20170110
RqFEiH/rmg3ugAfNggz54P+FzeMrlT1DQmet2r44w4g=,5,17,male,3,20170125
eqUAOE1RY3xcXU/6PS/URBae4gzBBVzzlhKXT2T3E6M=,1,0,,9,20170204
1aF7r4O4IPkZI3neC2lpSAHGPoOaMToVCDK0OCIXRxw=,1,0,,7,20170209
ec/OvY9ylRmvcl9ONM7bARlDwR/WWBTWgYmUqwfpn0s=,8,27,male,9,20071218
jWG69BLTZjneLRKPgqJrl+W8zZy/OFdispg7T7dJhWw=,4,0,,4,20170224
a7Sz2DKMViNlqumMMEl5EMFXBuRPYSAFLxYHtaBU6Ck=,1,0,,7,20170225
87Og+7rzs457Toz08C/rP3+7kKXOmrZP8fXZZv2Y3XM=,7,0,,3,20140731
7xI8REeRtCGFt6deO2bca2nX+NawWiUZpeL+4K0wYp4=,1,0,,7,20140518
gWJ9SqIRjQJ0VZbyLwcGfJiXlHsCvu370NfMFOgBmzw=,1,0,,4,20161230
42uFon9B0jJdsz+AZUauyEoO+kBK7G770Qkllmyle4Y=,1,0,,7,20161122
YzqfNBEiCAy+mQvIYpe40+TgPgX9j6baStaeqInX6h8=,1,0,,4,20161128
F3XhDLT0h1L2hBaJ6nh+66ONI0DH3DguaGtGwkC38tk=,1,0,,7,20161205
nWg9Z1hvFg73xTjQulFpBXyjqGnJauMQl6OOY6tBZAw=,15,0,male,7,20111120
0BOEP9+8lmuSoL7o/Vi7NaFEDWJpuSEWJiB+51qLCh4=,1,0,,7,20110720
j4fvjruHie1pwS0HmWUc7rxZ4+FTOLRWTDIh2uT6Xks=,1,0,,7,20110813
mlExwaeQm9f2eq4SVxlhI/TZvHDAKpZDL/5Q2aHRhj8=,15,26,male,9,20070916
BsudkJ5wDQ8cOeWwu1YIJxYTtTzDJusiMWDXvoTgqm4=,11,30,female,9,20070220
sFZ0yV00J1ONkWMu5h+Dwc4BY//N4ixpfhWqZLHQi04=,5,27,female,9,20070331
adX1B2v6YwxsYXDSrmtVw5vqC5izcUUn5rvVGYOinZI=,6,0,,9,20110806
Dyw9izy8CubI/zmCKnDvvU3A7+bMPoZS/nhj0Z1CPyU=,6,0,male,9,20041226
/3vm0R7Tm1PVL+aTemCn5ova4rnEvU3KG62QCC/C73M=,13,45,female,9,20050721
B14Thl6p2fkkE10+Jq2KXliDLa7LLQX6b5kEvkVzylw=,11,21,male,9,20050813
4JIvkqQTsZwymereS7C6ikkFb9WJ16SS11kOaOhto5M=,5,53,female,9,20051001
gjVHTmNai6Ek97lwrWSp+N8pOkokxfX9qJN/OvX3caA=,13,26,female,9,20051022
MuIBjsHLjc1dltfYUEorndcokbSo8Pkxc9uXFHsOMCk=,1,0,,4,20160718
fjqUKA1YdKPMnmu3BSqK3MEjScOAR9MemonwdXqdDBU=,4,25,male,7,20121108
JrUM5DJDELhcupR1vF122icv+J2eNq6R7hSLzK1QH8M=,1,0,,7,20121214
SpIN7D42Bjz+Ev8prEbR1giZwStD0nT8cuEwVgIZBT0=,6,28,female,3,20130110
egPuH6NIrjGfVzYgJ6nRNr417mesL5kD7fCExjGlQi4=,5,0,male,9,20130113
M53zeecIAb4sZ0oc3NTDiEkYq0bM05K/58kDM+9Y9iM=,1,0,,7,20110613
IGy+M07SYHBC0U+JTfYjz4P8G6Pne28BZ9qB5RERSPE=,14,21,female,9,20110613
nu0AZ/N1X7bIn0xFqo4sOL5gMhyz9fgqyCKFujexMLM=,5,30,female,9,20080104
pgGvoesF/IQIimaIbs2rs00zBX2HFKWzTKP2KuJwhAM=,1,0,,7,20161111
2qT/3CArMhjhJz95YaEdZxD0TBoL0Kek3Auyc3WfnnU=,1,0,,9,20161118
XdATxmuAFcNnDAbPZ8sekaLXh0NXp+o6YVJCBV37xqg=,1,0,,4,20161204
cHW1b0kMUpguIsG9vwoDc7geT3NbeDdIlVzRkiDR0wE=,1,0,,7,20161210
H/MB+uttGlGIMr7qru4HYG4dVbh0e1mBuoryBOKz/RU=,1,26,male,3,20161214
rFfOp9pMeQO2wzkW96F2BmWhyS5ELsi/u4CCZpWFkak=,1,0,,9,20161217
/oCaU4uCYe5YJKea8HNn0X+XavMxrwqGgaT4n6YZxuw=,1,0,,7,20170220
x6gsYYmeq6u+PTZc2RlPBr/IPuwXnVE8Mg8JxDoIOW8=,1,0,,7,20170225
b+c0nf7B2+n15fcoQZpRl2LwEkiXHirtvHnBZrsZ5kg=,1,0,,7,20120203
Dd9VrxUR+eEEAWe2YiWR2JA1PHXYYU0QSmJzEmVpLUs=,22,0,,7,20150306
LMGkmkUz4h6HMW3QRMaz7TBMl9sEgQk/ODSL0y7/XgQ=,1,0,,7,20150311
vmxWnDy1p88YY3diPPcBRCZltTipfsti1jPu76UVaUQ=,1,0,,7,20130129
gZQbiTzYm8LMMKoJpxoJPCVNqI/tarNYkSMW64kcFKs=,18,28,male,3,20130205
uD7mucQRzshuPSeGOt0rW4EmqmT1UfWYzmm1MaDwo+4=,6,26,male,9,20110607
7k3u/jaF58rUPcqsxLVizRAZgh5HbZB3UR0tHsC86qY=,12,23,male,3,20150202
TgNEhNs5eYfMJ8yGuO0ws8uTDuTxd/WrX4eiC5jFpHw=,22,27,male,3,20150207
88ia1sFDoplMd/c7mbD+ChplQRiTSG+pIqmE2EtlvGs=,1,0,,7,20151118
ppuS8l75WDoR3ykcun9XdnRFsv67xQJRMXBlak5iN/Q=,1,0,,7,20160907
p/QO/4dXQcjRE50vyn73S46vAjgr51m4Ru/pGAP9aK0=,1,0,,13,20160911
3figH8z802iOFyeOvYgWwIeiPGAoyheLm0nMCugtkh0=,1,0,,4,20160916
5unIExNhRnXpUgV4Ilrb7hF8cxZUw/dTYEIyooxasoM=,1,0,,7,20161217
IGLkPmH6imayvKJUsleua368KPdn7+bj9DDx3uZvQ2E=,13,26,female,7,20110615
lem4kd+dRm5CmNXcdKUaBPnUfhZlnKDe+7B0ApMMBf0=,1,0,,3,20140514
r2RUT5ZItrPuERN0DykOP7h3q2ngqgUm1fN9fIdoUYg=,4,29,female,9,20110108
8JYf/v5819r5KOHgbDkuXtDLSYl3AKX85NoJXFqJy1Y=,13,25,female,9,20061205
d+Kk7Pyu5/aOtSTx7N2Kw1od5QdZOfkgrAFxTVcTKtE=,13,37,male,9,20070313
sYX46A+ZeQn8+O+jMQmu7OLzYJF0TYG2XtOug6IY32g=,13,30,male,9,20070412
241Y9r3A4jtXR65czLAQJp89uCRvIpfMblm0I+k8Bg8=,13,29,female,9,20070416
W7rqXHK1SErewTB9DVtRYwVaMMpZTJ8vK3n/IBZXky8=,5,36,male,9,20051224
MAPjem2FFvdSaqbH2whVi5wYCmV6OL7lqB8cvLVfHRM=,11,50,female,7,20111102
b8VLP4vetYe1eGh80WOV5Edp2c2vwp40nXBL5/BYa8E=,6,24,male,9,20070715
TEiEPOGNbqghmd1SqpwKR2KCiKJfz6pxaSQEk+KMdow=,1,0,,7,20151124
ahW5BqkG9fSU4gxIPC3uUUv6zg4sIZGU5fQ3q9Lefgs=,13,18,male,3,20150627
wSzLm5KRiaZ9cb4Jm3LztvKw7LL721oLfQK4LxsIKo4=,5,38,female,9,20070121
N+yF0heXJcEjI+xm4Q5z1GSwtJRUGOfsdO0c3SG7A6M=,4,34,female,9,20070212
/x6cJgnh701jtduL3BMDsKUEBczH5Ah9XRWEhFKhiPQ=,13,31,female,9,20070318
FrmGiSbnRfipXOo/UX1XNJsuzRl2u9lAD2SwfpRVdg0=,5,35,male,9,20070325
fXMWdurJn5ookGvC00c6YotsRI59Wt77zgX6PGuR5+w=,22,31,male,9,20070405
70jehLuTIMN+rNHyPTZqdnGF8F/I66/tvjlZen/GNTM=,1,0,,7,20120404
7bR2QUulhTSa5JtglVtIqhoVfR6MZGFXQHX60iI5dI4=,11,34,male,3,20150825
J8CSn8IyN/IJFMTka7BQcMBRL8oipPZUYgBXVzo7KHM=,14,39,male,9,20141031
WSgE+F3fixDeIUYkDZIRYibCjzBi7Vz6qARid4Z6+0Q=,4,17,female,7,20141102
jnxIG+S7fTLI/w1CRNN6QtZCmcJC3NyVTCA4H8mHXZ0=,5,29,male,9,20110206
fJ60JYOiSeautp8lY2A03Ze8yJ5S6u1hDX0dXTtPaW8=,13,30,male,9,20110307
DqVU5bMigkIvRCatUG+eacOWCO/6osFRnA8xvcGg3qY=,3,26,male,9,20061105
SSODdS9d+6LQu3SQ6IYHNtmC9pxG1CoFkKpCLAaDwJQ=,22,38,male,9,20061129
ViBrJZo4vo7oYpLC3/4k4MgYYtsN7gwfhi24PFd07Y8=,5,62,female,9,20070215
59JSKueue2QQc6Q85xcpLnbDGJQCrbmcNjAxjk1JnWs=,10,41,female,9,20060305
zM6dzdV2KnhCmqEaAXyOkgOJGLayGlEmJZLgjcmHvbk=,3,52,male,7,20140501
6yVkhxAEQIv1oNf4Cg/WAKKi14bKEYCFDHV8iIwtlCM=,17,24,male,3,20140512
y4nFDncYr6HDJ9y7zfmXkBMhZfRvscMJeypeOUf+YBc=,1,0,,7,20140127
02XXK7anlubHs9DexvFz+rROL6XzvlgqIUWPDKpxRgY=,1,0,,7,20151231
/fzw/Lc3E/ajIo3WWoswjExUDk1WdPnaomjDBzkdtu0=,5,51,male,9,20060428
5bkgz3aFhQZtHPdEbQPyDz9GjplUP6X8/RWBbiobVSg=,1,0,,7,20140109
BtQCp4QJSkgjTfaYubkGhBm1FftR/ay6irUrU50sFNc=,22,29,male,7,20140125
2ecBSzpiuI2rm3vvDl7UTM5rgcnJ9YjX5nC7J2OcmN8=,13,32,female,9,20130410
exOSNJF8WtYoeMuQzOgWuEoyoI4efijuCAEcfw8w1zM=,1,0,,7,20130503
IxVpIMhdRJr8hmRp3MJ1L+daONWu23vAWFoNPeQyn8Q=,5,0,,9,20130617
JtVbMRBeq1MceadJUGxRgnGDvsxCbISacedPf1cewxQ=,1,0,,7,20140527
OQQeaHHO9D4cM6+hnoQKSYUUHX4XvCvmHFMMsTOjAt8=,1,0,,7,20140704
YrPIFrPtLTBQow/SFrSHnhJrXkI17JFdxs+HTDnu2R8=,1,22,male,3,20170131
gShdOeN2ziSiHNHC9WfwSAbNPHAYtHp679xhkb2sDZI=,1,0,,7,20170204
srP6AwJHuUPUnT0z5+FH/5A1mbAFsR/Ns3YnKWUMB+Q=,22,19,male,4,20170219
lNJfFm0lBmF5mDgDTnG6khfTojUc+mBCMJK7bkpX5TY=,22,25,female,9,20070411
cYHzBFH02p081wGWQDV2Y4tMQOT8HMpkIVJ8V/s6rlM=,1,0,,7,20140213
zRoBuDDB3aIAQ5YBEpphFep8QMvnD+WRCmNcfDNxtS8=,15,24,male,3,20130205
pMMzlK2aK895fqgSV8gsRd72mD1TZJwcCZ4uXetDR5o=,13,44,male,9,20111025
IJ2PJLypvQPmYkjK/p0UxB8oUkDDHmU5po5BjnMJDdI=,1,0,,7,20111118
kMAY5bpU/1LoYUbK2/3GkjAMxsLG/Zuwys6DT5bQoOQ=,1,0,,7,20140108
i9ADTT6UZb+izLOg8fAETzBzDIOhOIviGjOJ9fCAIpI=,1,0,,7,20140118
UnyiBVdEjguvfYuk0CsQDftLlTb7bMZISnVnYDl8kwY=,1,0,,7,20160106
eomGWluMpiBGTC/vuTeBHOLe+6WJ4GyHBN8h2h05BLg=,1,0,,7,20150721
4bbbH+FqZqiFc0AhVB8NTOFaElUJipi+w5I/G5j76Mk=,1,0,,7,20150728
P/xkZfW1b0Cpa609hjwPiHRTGUs9SCQkg4IuXTEfv/I=,1,0,,7,20160205
vG7hHvRHvNuNFXJUskGsNahftGaBSLXb945L+XbnAik=,1,0,,7,20160206
6d9Zv7VW239hYPziXZrqE3EWf6SV6+h5rNOYPp30soU=,1,0,,7,20160211
9B6SPMUUfEHuiSc5GzBBxk1ZhMxvyucwCJu2p4dYg9E=,15,20,male,3,20161112
6Fbce+/O+z7C4oqHSXUI+J5Z1QvVHxptgLo0QKWVbf8=,1,0,,7,20161117
Aqhh+rae1qTk4UwIO9nlcRY1golFfjy1A2OH/SuBfqA=,1,0,,7,20161212
U70n2Q29kcgf9u46/2TULc6k9d7HNNN8rjWiVsy1G7w=,1,0,,7,20170127
GCCvBtpKsz1YCJZa1r5C7LPvW/iSY2NB2lkK2y7j7zU=,6,26,male,9,20110131
LCSdOIqGisY1miGnBDYa2Ocbzum04xnKxkAFkj2+GCk=,1,0,,7,20151010
SQmLpJbkZiRINbPUkiXH6P4/3GwkVv9H7EHbpn0e8Z4=,13,33,male,3,20131013
JCdoXQlB/opwdKO3x35kpq1ECtZ+nWCVHL81uxef6Vk=,11,0,,3,20131015
DMGXHjbXEiBYv/KSNR54L203TM2iNrT8/BaRRzHdPvg=,1,0,,4,20170111
W6DIVCvEUAJdYbgyPa/XIfyMHJx1jyRFhPcUttq5t1I=,1,0,,9,20170120
ucp3lrlUNOUQUBu9NodE6I8eW4ihTM5v7CyDPTlRuRw=,1,0,,4,20170125
1tE2Pbqp2HXpkCq7bAHWPnsngFTTUJYbhJCO1qsh54M=,1,0,,7,20170213
QSA3LpYm22dkW2EHUDpDSbqVH0XdMlcEDuQpqdYb0Is=,1,0,,7,20161115
xz9/HXKgaGpMt5BS9i46AE6Ja/ezUeLOlgW318ViFtI=,13,31,male,7,20161116
61yG4spbntglCO8om8OfhuZVvuyLOolkucCCAGrWrWE=,13,25,male,9,20130505
ZYhN39nQ2nj9r+CmctisPxIn3a3462aIZR4pegIEhvc=,4,48,,7,20130506
U+6SjRMOdPPJAtIdiz+QT1E0Ezm9INCDqhhlJDg1Wpc=,13,22,male,4,20160107
fFX8XfhRDRxMeuu6YzVp7eVTM00oFiRzUyrfatabfIQ=,9,28,female,9,20070710
PvSkA1diR8mlhYu6fb8KfzKepZPOdnaIgeHW/mfn/Vk=,1,0,,7,20160327
DeXXSXuYSDG5bp92QePJqUDgoxJWB9onc9dpJLgqTAE=,5,21,female,3,20120629
/HGyfKWBMC3G2UknlmfA1JG3spSzmuP9OxvhHlIu1q0=,8,35,male,3,20130919
Cvi3+Qs9ef6DUB6BkA04ApeDy6KetSargyxAnaxEPrI=,1,0,,7,20151111
RzshjVmFNA+jJ8V2GZqOH5e1vVy5ygd2jbhjWNIia1A=,5,32,male,9,20070516
mT6oeTeRsJ2kGh3gfixuAQftuHK1tfkZpfODAMvhMz4=,1,0,,4,20151116
4t+94gohzf8WsNU/qY9yE0+JrWdLQ8trVyQzpbN1iCQ=,1,0,,7,20151118
D1SbeEca6NoGd0hAkXAUq0OfrMhf4rg7XPpwqsbTWco=,13,27,male,9,20080131
m5dwBuV/4vYIu6lwAUj5W235FFjox5trkEIXHn9rL08=,22,27,male,9,20121023
qvEMVnqlGJpm7tW6OAziCW3l/qlguM4so0sDXlU3rFA=,14,24,male,9,20121028
fUxEb42T2hQHlmJHfZDZDUklDrVYzVZzMKg5khAoll8=,1,0,,7,20130923
PhTOlAZKCnL16utly/DFwe1Z/Z3nXv0V4+FbfVfTey0=,16,33,female,4,20151111
oU1DIYyAZTyEE4B4+TAQH07pTPwehEkS4/Y0Gy3a7nU=,5,31,female,4,20151113
XHJCPNE/tkFb2R0YguKoGe9Hfdhe31styMK8p3GI2eQ=,1,0,,7,20151114
RU2eJq2HzhQnNTkMN8F1sXR0+rb9y9hFgEusw4yrmwE=,1,0,,7,20151114
