,msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel,Unnamed: 0,is_churn,city,bd,gender,registered_via,registration_init_time
54,AwSC/GfNEWHC7PC3l3hTJWy/TFP1IP/wTW4UImEpYdY=,36,30,180,180,1,2017-03-29,2017-05-06,0,16229,0,1,0,,4,2016-08-28
55,AwSC/GfNEWHC7PC3l3hTJWy/TFP1IP/wTW4UImEpYdY=,36,30,180,180,1,2017-03-02,2017-04-03,0,16229,0,1,0,,4,2016-08-28
56,B8dLk/Yvt0cvkqGlCPCcJV8UHQ3VhX5t+gnQUQXWUic=,41,30,100,100,1,2017-03-15,2017-04-15,0,13165,0,1,0,,7,2013-06-02
57,BJHFA2jy9jb7QG04DvnDGYSUevJ/9WkaeRCQB2LTFq4=,36,30,180,180,1,2017-03-31,2017-05-08,0,3721,0,1,32,female,9,2008-08-25
58,BJHFA2jy9jb7QG04DvnDGYSUevJ/9WkaeRCQB2LTFq4=,36,30,180,180,1,2017-03-01,2017-04-07,0,3721,0,1,32,female,9,2008-08-25
59,C55HfdKkeeP8gNzMQ93YE7IGxk7/ohvN7J/gxMz0XMo=,34,30,149,149,1,2017-03-31,2017-04-30,0,2573,0,6,33,female,9,2007-03-19
60,DETgA76mrjZ9m/SQuimf73IHxs/eiMsJNOrbo0+j54E=,40,30,149,149,1,2017-03-04,2017-04-03,0,3287,0,15,27,,9,2016-05-06
61,E2L3F3YALkKpVKSO0HggjhaY9uN092jH0ODgqWViH5Q=,41,30,99,99,1,2017-03-23,2017-04-23,0,8136,0,1,0,,7,2016-03-24
62,EHNwJ5XnDhbt7Gn+EnnAX3XE7zGayZDAp68Y2qNiPmk=,41,30,99,99,1,2017-03-25,2017-04-25,0,3222,0,1,0,,7,2012-05-01
63,EmXhAeI39awfgTKORlZ1aALuksx+fB9fZlUqcl8Zr2M=,41,30,99,99,1,2017-03-19,2017-04-19,0,6117,0,1,0,,7,2016-03-20
64,ErZy+VzG7Uvdo0I1neCV71kv5t/l3JL1upf/KYhEGdk=,41,30,129,129,1,2017-03-11,2017-04-12,0,536,1,1,0,,7,2010-05-12
65,F/loFE+othOGFwxy3AQmxa8Gl5Yr5A9Oslb+yzSdbzY=,39,30,149,149,1,2017-03-31,2017-05-29,0,2033,0,15,21,male,9,2013-11-28
66,F/loFE+othOGFwxy3AQmxa8Gl5Yr5A9Oslb+yzSdbzY=,39,30,149,149,1,2017-02-28,2017-04-29,0,2033,0,15,21,male,9,2013-11-28
67,GxZu+TaG3S2xWOs+3Hl1uQKVWmQ2lVu9Sqx3AhhuG7I=,41,30,149,149,1,2017-03-05,2017-04-06,0,15601,0,1,0,,7,2011-12-20
68,HBnxP9DnOPKYuCr/6/u+lLKwKIciK+EZK6BhdD9FH1M=,41,30,99,99,1,2017-03-03,2017-04-03,0,15259,0,1,0,,7,2014-05-30
69,HoVCfKh9fK+NcSOhmvE3Lsc5L1QFkg10i17xd5UvU3E=,36,30,180,180,1,2017-03-20,2017-04-19,0,8073,0,1,0,,7,2015-09-03
70,I1h0aEpEUaSjVgXuTAaSYaxKiOtyHnqQyBhWeq/gbzg=,41,30,99,99,1,2017-03-17,2017-04-17,0,4413,0,6,32,male,7,2010-04-16
71,IwqLlv0GOfpSUIzppYNfHqZlZ2ItgIKDcp1BVHDTR+o=,41,30,99,99,1,2017-03-26,2017-04-26,0,1497,0,1,0,,7,2012-11-19
72,JL/th2oxyLG0Qgi0wknHwlDYAwxDjvRbuCMyt0dpVBA=,40,30,149,149,1,2017-03-18,2017-04-20,0,13597,0,4,31,female,3,2016-06-20
73,JN4zoxRyXZ22kIuFcWU5JwS2uYqPvdZKe9DOSZIThaQ=,41,30,99,99,1,2017-03-31,2017-04-30,0,12594,0,1,0,,7,2015-04-04
74,Jht0FZJFKv4BLQG0AHYvpM5mB410bELiT+cx6ko/Vmw=,41,30,99,99,1,2017-03-27,2017-03-28,1,9899,1,1,0,,7,2016-03-26
75,Jht0FZJFKv4BLQG0AHYvpM5mB410bELiT+cx6ko/Vmw=,41,30,99,99,1,2017-03-25,2017-04-25,0,9899,1,1,0,,7,2016-03-26
76,MCWREp/7eon9yni61qO6Nlj8qYebRxwu3XsgMQM4VXo=,41,30,99,99,1,2017-03-26,2017-04-26,0,10227,0,1,0,,7,2013-09-29
77,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-04-17,2017-07-17,0,6051,1,13,38,male,7,2012-04-17
78,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-12-17,2018-10-19,0,6051,1,13,38,male,7,2012-04-17
79,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-11-17,2018-08-19,0,6051,1,13,38,male,7,2012-04-17
80,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-05-17,2017-09-17,0,6051,1,13,38,male,7,2012-04-17
81,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-08-17,2018-03-20,0,6051,1,13,38,male,7,2012-04-17
82,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-10-17,2018-06-19,0,6051,1,13,38,male,7,2012-04-17
83,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-09-18,2018-05-19,0,6051,1,13,38,male,7,2012-04-17
84,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-08-17,2018-02-17,0,6051,1,13,38,male,7,2012-04-17
85,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-06-17,2017-10-17,0,6051,1,13,38,male,7,2012-04-17
86,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-03-17,2017-04-17,0,6051,1,13,38,male,7,2012-04-17
87,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-07-17,2018-01-17,0,6051,1,13,38,male,7,2012-04-17
88,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-05-17,2017-08-17,0,6051,1,13,38,male,7,2012-04-17
89,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-12-17,2018-11-19,0,6051,1,13,38,male,7,2012-04-17
90,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-03-17,2017-05-18,0,6051,1,13,38,male,7,2012-04-17
91,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-07-17,2017-12-17,0,6051,1,13,38,male,7,2012-04-17
92,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-10-17,2018-07-20,0,6051,1,13,38,male,7,2012-04-17
93,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-09-17,2018-04-19,0,6051,1,13,38,male,7,2012-04-17
94,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-04-17,2017-06-17,0,6051,1,13,38,male,7,2012-04-17
95,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-11-17,2018-09-18,0,6051,1,13,38,male,7,2012-04-17
96,NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,2015-06-17,2017-11-16,0,6051,1,13,38,male,7,2012-04-17
97,O2LqAGe2KZqKewZ5d/rxTyYMBWh8IzGAeJdAOetcwmU=,38,30,149,149,0,2017-03-08,2017-04-07,0,8020,0,8,15,male,9,2012-12-03
98,O7jdygvxVqzgE0vrbhbg39OOIPDp1Zy/pCZA+jlFwLM=,41,30,149,149,1,2017-03-19,2017-04-20,0,9079,0,8,32,male,7,2011-06-24
99,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,0,0,149,1,2015-05-02,2017-07-30,0,5739,0,1,0,,7,2013-09-03
100,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-09-02,2018-08-02,0,5739,0,1,0,,7,2013-09-03
101,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-11-02,2019-02-01,0,5739,0,1,0,,7,2013-09-03
102,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-08-21,2018-06-02,0,5739,0,1,0,,7,2013-09-03
103,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2017-03-21,2017-04-21,0,5739,0,1,0,,7,2013-09-03
104,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-04-21,2017-05-30,0,5739,0,1,0,,7,2013-09-03
105,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-09-21,2018-09-01,0,5739,0,1,0,,7,2013-09-03
106,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-06-02,2017-10-30,0,5739,0,1,0,,7,2013-09-03
107,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-11-21,2019-04-02,0,5739,0,1,0,,7,2013-09-03
108,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,119,1,2015-09-21,2018-10-01,0,5739,0,1,0,,7,2013-09-03
109,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-12-21,2019-06-03,0,5739,0,1,0,,7,2013-09-03
110,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,119,1,2015-05-21,2017-09-30,0,5739,0,1,0,,7,2013-09-03
111,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-12-21,2019-07-04,0,5739,0,1,0,,7,2013-09-03
112,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-12-02,2019-05-03,0,5739,0,1,0,,7,2013-09-03
113,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,119,1,2015-08-21,2018-07-03,0,5739,0,1,0,,7,2013-09-03
114,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,119,1,2015-06-21,2017-12-29,0,5739,0,1,0,,7,2013-09-03
115,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-04-02,2017-04-30,0,5739,0,1,0,,7,2013-09-03
116,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-11-21,2019-03-03,0,5739,0,1,0,,7,2013-09-03
117,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,119,1,2015-04-21,2017-06-29,0,5739,0,1,0,,7,2013-09-03
118,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-10-02,2018-11-01,0,5739,0,1,0,,7,2013-09-03
119,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-07-21,2018-03-01,0,5739,0,1,0,,7,2013-09-03
120,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-05-21,2017-08-30,0,5739,0,1,0,,7,2013-09-03
121,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,119,1,2015-07-21,2018-04-01,0,5739,0,1,0,,7,2013-09-03
122,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-10-21,2018-12-02,0,5739,0,1,0,,7,2013-09-03
123,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-07-02,2018-01-29,0,5739,0,1,0,,7,2013-09-03
124,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-08-02,2018-05-02,0,5739,0,1,0,,7,2013-09-03
125,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-10-21,2019-01-02,0,5739,0,1,0,,7,2013-09-03
126,ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,30,149,149,1,2015-06-21,2017-11-29,0,5739,0,1,0,,7,2013-09-03
127,OacbUbpKZoJ71M4pQOWg0CGk1vpPHTSAa+X94QRVbxQ=,41,30,99,99,1,2017-03-22,2017-04-22,0,12025,0,1,0,,7,2016-02-23
128,OmuF/WPxo//vx7T5CpcKidJgMRyPMNZLf3h2RA0z6KY=,33,30,149,149,1,2017-03-31,2017-04-30,0,8429,0,8,41,female,3,2012-06-20
129,OraX8+D5oSLKdRV+jGlv+HVUa2sNWBTwrcurC6GLlHs=,41,30,99,99,1,2017-03-14,2017-04-14,0,2277,0,1,0,,7,2015-11-14
130,PQdd4B/V/UjPxLzCooWnwvRunhWk8ls9Sz+lKD9n5RI=,41,30,99,99,1,2017-03-03,2017-04-03,0,14022,0,1,0,,7,2016-11-04
131,Qsim4m+CnqF4vu0UmqwA4mDWslE7hyskP5x24LDPngo=,36,30,180,180,0,2017-03-18,2017-04-20,0,13637,0,5,0,,9,2012-01-13
132,Rct5Z+791FHj875E8Cc58gsFDO71TteaYUq7TTNRpsY=,41,30,99,99,1,2017-03-05,2017-04-05,0,15736,0,15,33,male,7,2010-12-18
133,S7aPdXfVGZjEjqnHS2xLorIEuJDjg1sxf0CSXCbDpBg=,39,30,149,149,1,2017-02-28,2017-04-04,0,14611,0,14,29,male,9,2008-12-14
134,S7aPdXfVGZjEjqnHS2xLorIEuJDjg1sxf0CSXCbDpBg=,39,30,149,149,1,2017-03-31,2017-05-04,0,14611,0,14,29,male,9,2008-12-14
135,SSODdS9d+6LQu3SQ6IYHNtmC9pxG1CoFkKpCLAaDwJQ=,40,30,149,149,1,2017-03-06,2017-04-05,0,4326,0,22,38,male,9,2006-11-29
136,Sin5eTMVHGomVQmPW10hWhUyDNn8GxopdZ4ap7TLQ1k=,41,30,99,99,1,2017-03-04,2017-04-04,0,11452,0,1,0,,7,2016-06-05
137,TMzdqw0FvdZc/hl5KCZhOcICiXpW+Bx525KKY45LaZU=,41,30,99,99,1,2017-03-31,2017-04-30,0,9734,0,1,0,,7,2015-09-30
138,VYrCZ8EmStLi9fmuaP0+wwqiKzkuaHQ7yWfTR3OLzaw=,41,30,99,99,1,2017-03-05,2017-04-05,0,2876,0,1,0,,7,2013-11-06
139,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,129,129,1,2015-09-12,2017-10-10,0,13201,1,5,31,female,7,2013-04-01
140,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-10-11,2017-12-11,0,13201,1,5,31,female,7,2013-04-01
141,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-08-11,2017-07-31,0,13201,1,5,31,female,7,2013-04-01
142,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,129,129,1,2015-11-11,2018-01-10,0,13201,1,5,31,female,7,2013-04-01
143,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-08-31,2017-08-30,0,13201,1,5,31,female,7,2013-04-01
144,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,129,129,1,2015-10-11,2017-11-10,0,13201,1,5,31,female,7,2013-04-01
145,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-11-11,2018-02-09,0,13201,1,5,31,female,7,2013-04-01
146,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-09-11,2017-09-29,0,13201,1,5,31,female,7,2013-04-01
147,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,129,129,1,2015-12-11,2018-03-12,0,13201,1,5,31,female,7,2013-04-01
148,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-06-30,2017-04-29,0,13201,1,5,31,female,7,2013-04-01
149,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-07-31,2017-06-30,0,13201,1,5,31,female,7,2013-04-01
150,VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,2015-12-11,2018-04-12,0,13201,1,5,31,female,7,2013-04-01
