msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
EmXhAeI39awfgTKORlZ1aALuksx+fB9fZlUqcl8Zr2M=,41,30,99,99,1,20170319,20170419,0
ErZy+VzG7Uvdo0I1neCV71kv5t/l3JL1upf/KYhEGdk=,41,30,129,129,1,20170311,20170412,0
F/loFE+othOGFwxy3AQmxa8Gl5Yr5A9Oslb+yzSdbzY=,39,30,149,149,1,20170331,20170529,0
GxZu+TaG3S2xWOs+3Hl1uQKVWmQ2lVu9Sqx3AhhuG7I=,41,30,149,149,1,20170305,20170406,0
HBnxP9DnOPKYuCr/6/u+lLKwKIciK+EZK6BhdD9FH1M=,41,30,99,99,1,20170303,20170403,0
HoVCfKh9fK+NcSOhmvE3Lsc5L1QFkg10i17xd5UvU3E=,36,30,180,180,1,20170320,20170419,0
I1h0aEpEUaSjVgXuTAaSYaxKiOtyHnqQyBhWeq/gbzg=,41,30,99,99,1,20170317,20170417,0
I3haIgNDeSwXNfhutDDP0+D0OBioZV04wbHr2SW/R+g=,40,30,149,149,1,20160322,20170606,0
ImwGf4u/rDZmq8QELRgszyZQ1+MobkPE4ywcvu9F9gQ=,41,30,99,99,1,20170303,20170403,0
IwqLlv0GOfpSUIzppYNfHqZlZ2ItgIKDcp1BVHDTR+o=,41,30,99,99,1,20170326,20170426,0
JL/th2oxyLG0Qgi0wknHwlDYAwxDjvRbuCMyt0dpVBA=,40,30,149,149,1,20170318,20170420,0
JN4zoxRyXZ22kIuFcWU5JwS2uYqPvdZKe9DOSZIThaQ=,41,30,99,99,1,20170331,20170430,0
Jht0FZJFKv4BLQG0AHYvpM5mB410bELiT+cx6ko/Vmw=,41,30,99,99,1,20170327,20170328,1
Ka3tKKwpPgWxqET2bfL25GTPsz/Uc0Y25zxY2AU2nlk=,41,30,99,99,1,20170326,20170426,0
MCWREp/7eon9yni61qO6Nlj8qYebRxwu3XsgMQM4VXo=,41,30,99,99,1,20170326,20170426,0
NAtPoQy6OeUC8JYGXRGr6vrIyHgNT8zysY2kSae9Pu8=,41,30,149,149,1,20150417,20170717,0
O2LqAGe2KZqKewZ5d/rxTyYMBWh8IzGAeJdAOetcwmU=,38,30,149,149,0,20170308,20170407,0
O7jdygvxVqzgE0vrbhbg39OOIPDp1Zy/pCZA+jlFwLM=,41,30,149,149,1,20170319,20170420,0
ON6yKHrrrY3jMG/XQNavm/PHIQkUHp7i0z/EpVT7HAI=,41,0,0,149,1,20150502,20170730,0
OacbUbpKZoJ71M4pQOWg0CGk1vpPHTSAa+X94QRVbxQ=,41,30,99,99,1,20170322,20170422,0
OmuF/WPxo//vx7T5CpcKidJgMRyPMNZLf3h2RA0z6KY=,33,30,149,149,1,20170331,20170430,0
OraX8+D5oSLKdRV+jGlv+HVUa2sNWBTwrcurC6GLlHs=,41,30,99,99,1,20170314,20170414,0
PQdd4B/V/UjPxLzCooWnwvRunhWk8ls9Sz+lKD9n5RI=,41,30,99,99,1,20170303,20170403,0
QNc0nZ7W7XkuFtHMtuckeCHT8onHaodczDX+FoXhKCk=,41,30,149,149,1,20170317,20170418,0
Qsim4m+CnqF4vu0UmqwA4mDWslE7hyskP5x24LDPngo=,36,30,180,180,0,20170318,20170420,0
Rct5Z+791FHj875E8Cc58gsFDO71TteaYUq7TTNRpsY=,41,30,99,99,1,20170305,20170405,0
S7aPdXfVGZjEjqnHS2xLorIEuJDjg1sxf0CSXCbDpBg=,39,30,149,149,1,20170228,20170404,0
SSODdS9d+6LQu3SQ6IYHNtmC9pxG1CoFkKpCLAaDwJQ=,40,30,149,149,1,20170306,20170405,0
Sin5eTMVHGomVQmPW10hWhUyDNn8GxopdZ4ap7TLQ1k=,41,30,99,99,1,20170304,20170404,0
TMzdqw0FvdZc/hl5KCZhOcICiXpW+Bx525KKY45LaZU=,41,30,99,99,1,20170331,20170430,0
VYrCZ8EmStLi9fmuaP0+wwqiKzkuaHQ7yWfTR3OLzaw=,41,30,99,99,1,20170305,20170405,0
VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,129,129,1,20150912,20171010,0
VdvSudQjTMgIC5Mhk1MqTUrO6TvrP9ZjEexDedCk8lg=,41,30,149,149,1,20151011,20171211,0
WAMleIuG124oDSSdhcZIECwLcHHHbk4or0y6gxkK7t8=,41,30,149,149,1,20150221,20181029,0
WVB65GuT+mIylG1reiEVefyh3EtYKOhn5XvqbedTxiQ=,41,30,99,99,1,20170327,20170427,0
XZ5OUw4s3Oszu01LaxHzlibxReXAfdnqXyM9eDM6dk0=,38,90,447,447,0,20170327,20170625,0
Z/CWZWKjakchP2wBEdCZlBCeba3gJDVBvBO/NkXeKuo=,41,30,129,129,1,20170313,20170413,0
ZNm4wk+Q9uj2aHsPDa75OHF2Gcfn2wzBw116KSftXFc=,41,30,99,99,1,20170303,20170403,0
ZZZHSpkxY613Z/UhUf1YL+r2d9iXw41DLmI1ypTCb1M=,36,30,180,180,1,20170310,20170309,1
ZZa9j+m+iZpgaZe2zYEDdGFjxWq8QtKWlu7jEPrSiIQ=,41,30,99,99,1,20170316,20170416,0
Zcg2h+NDFyOxRh3syZzCympUuzYCpzvZZmZAjj1jCTg=,41,30,149,149,1,20151219,20181020,0
ariVdGgAGY7f+EPjRScJu5ms66zVG8YuFt2ui7ncKFc=,39,30,149,149,1,20170331,20170507,0
c2k5NzS7iA4WNzBiL8Nytnka1y0gm3hggsmI20UlUCY=,41,30,99,99,1,20170327,20170427,0
dbDkjxqTCXMFpul2yqsep3mRICXLzv0TjXUxCCxnEW4=,37,30,149,149,1,20170323,20170422,0
etLu8MOe4twp2PE4Fg7FgnZVXOCHHdTAch7nSYefTT4=,41,30,149,149,1,20170310,20170410,0
gwaICU+ijhgTx4dDo7oCmOKtJkxX2vvVAWincRl5R0k=,39,30,149,149,1,20170331,20170504,0
iNaUywgsd+rYGNdKQNFa+3lfm3md/vLCacMdiosfcsw=,29,30,180,180,1,20170308,20170408,0
iZ2G6AGB5mGdbVX4kdugGMhv7BbePzKY2/uFICCy37k=,41,30,149,149,1,20150720,20180119,0
jrepLi0dG3t4on/9dlMUSsc8IbIujyumLFioRK+x/pY=,41,30,149,149,1,20170313,20170413,0
jyHdhSn35x6KhZwZ2ww6eNVM/93291FjyPfDuxklJX0=,34,30,149,149,1,20170331,20170506,0
kHlkdMLut+1nYSZ0uSMWS17FrOpSj+syCNRUFF+wLpQ=,38,30,149,149,0,20170306,20170406,0
lQRv45Yb6k2n+GisgBXhyNkZru85NOE9yQBz0qDSMlA=,41,30,99,99,1,20170308,20170408,0
mgtJL7UAQkCblN4Bgb4jvQ4VzGnA/EWlahpWoe9fIkA=,41,30,99,99,1,20170304,20170404,0
nZm/4lejZMV3ps5YIouR/t7tDveRwcJXRQvuh44+ktE=,39,30,149,149,1,20170331,20170506,0
nldWq4vTB27oHgPWY9kmW8xgWSJhwKmApltowge3Yi0=,41,30,99,99,1,20170308,20170408,0
oD2bQJVcdGmPYI0yzhNAHa6FgPUYkrdGqlNke5yv70o=,41,30,99,99,1,20170317,20170417,0
om395v1WvqvyrzunWMbeObB1JLZJpNodPnvCoWNHD7c=,41,30,129,129,1,20170331,20170430,0
onXXiTFnBu1+Kv002Bh6e/zt/QBAH3l2uZYVdg3AxLk=,38,30,149,149,0,20170306,20170407,0
p+tAycZnAUrp2m51gPFqu++3mRk0VgHhSlG0161ENJE=,36,30,180,180,1,20170316,20170415,0
qIrncqLHvdbNjSMvi87vgVPaElycfUEbM9t4QQdbPTE=,41,30,100,100,1,20170323,20170424,0
qOisEK16ararlAokY7iJFK3Kzq40jidGJ21srhYeeH4=,41,30,149,149,1,20170317,20170417,0
qXTRPgx0nGSNWQplUqYdy/mRdBKtJ1GM/Bt6uGQWFSk=,34,30,149,149,1,20170228,20170501,0
r6PlQNN/8aSWimMl94VVzc4DPKBzEOxU1M3nLveGSkg=,41,30,99,99,1,20170306,20170406,0
rv7Ux5qzAqXxbI9zC7fiFXB3wtOOVep3H5Mg8S7zTz8=,41,30,149,149,1,20150921,20180423,0
s0TD84ltsSYR5pGzX+fX7iQyC4IMwaCP/GkfIV9W88s=,39,30,149,149,1,20170228,20170421,0
sCcX6DGwhjWzj1y8LcTc3uhkNYuMG2Aq8eNWpqtkbsM=,41,30,99,99,1,20170325,20170425,0
sQB2hXD3DaIswhnZt9hiB8cGE2ANNnmr/9uhqaXBwT4=,32,410,1788,1788,0,20170321,20180508,0
scRFeC95AvbnOtLgbgcGWo7FnboZ4Qx28SxDVdNruJo=,40,30,149,149,1,20170319,20170423,0
sn/lWhHYsWzqq48c6D2fxHXPqMO3LgelRzcOfIwpudI=,38,30,149,149,0,20170331,20170430,0
syIdCcxBZ4PuxSbxYNK8kknQOG8UPmZ14o91L7JYOkQ=,37,30,149,149,1,20170303,20170402,0
ta3jAhVq2LztqXmV62ZzwLNnvd7FO2Yvo77ZdkXlB2M=,30,30,149,149,1,20170325,20170325,1
tgh9xrpkZXFQeAKe4iFbL9JekFqemhAzViFBOcwzTkA=,38,30,149,149,0,20170310,20170409,0
uVg5gNuHwWHc3FF5bC2vghZrF0IKu+Y8CULHrthWqsg=,41,30,129,129,1,20170314,20170414,0
vR+JOzPNj004Ct3ATwsTs4vOBLo7IazVPKXcbrrkjAI=,41,30,99,99,1,20170304,20170405,0
w5vLcMk0YA038dAAczqeePnvLyT/jCvdvkNiSCBfnjA=,40,30,149,149,1,20170310,20170409,0
w7xoKaUyWtrKcBllepLIOJQQe9IkjanX7vicI3Px7hs=,41,30,99,99,1,20170308,20170408,0
xw+RJgZWFtZ7ffDdik8Z4cHdwAOOtV4JhsB+pehh7MY=,41,30,99,99,1,20170331,20170430,0
y72TTW7PwOCa1SpEFbrE5u73VjyQbxrIsadH5dZkAcA=,41,30,99,99,1,20170306,20170406,0
yABGsFFqTctk/xnMj67nHmnisCwdue7XYxkYGOe9BGE=,39,30,149,149,1,20170331,20170506,0
yiJoh+g0PMrSaAuM0eOmUi8gQFu2zVM0/qg8w+qgY5I=,41,30,149,149,1,20170316,20170416,0
zQ8eEnJMgyyZmbFe0JCmncrQGJqeyII1K+xLn8WWN/A=,40,30,149,149,1,20170305,20170408,0
zkfs177pcpO3YWUoXfpPMx3nC/2WKutWctHHzItTlKs=,39,30,149,149,1,20170331,20170529,0
+W42HEBvVmT7tGMXwxUYKjwYinwVUEeVew7EPUpTDmo=,41,30,149,149,1,20170316,20170316,1
+bi2Hwu7Cpt36Yhpv9yjurJl+Yviyt37XHs6rOvqmN0=,41,30,99,99,1,20170324,20170424,0
+ovbenVG+hS55OVN0WTfb6UcDyBRHVpSRfpl6B7fEBQ=,37,30,149,149,1,20170306,20170405,0
+qVx4KBxywlDZndzQ70RvGrtbXSXNmqfQY7CpBktRXI=,37,30,149,149,1,20170322,20170421,0
/FwWejKESZqgtttyNJWdCl28ONiPdoGtt4yNtHYEoPE=,39,30,149,149,1,20170331,20170529,0
16mlNT+cNH09213wo8lzcV9G+GNNHe6eJv8eAT4sO8o=,41,30,129,129,1,20170309,20170409,0
1gz5oDRD/CCOCCibbALBxj2uCVw7iFz/C5RSatiNqkI=,41,30,99,99,1,20170315,20170415,0
1rMRZ4LbApOjqpH3b338wAnVW3GCkRIQo5BDxGQ7NLw=,41,30,99,99,1,20170311,20170411,0
25b9ozCBfrIqMGSj4MYH6dnnRgRkC2gBffPYys7UOTA=,39,30,149,149,1,20170331,20170530,0
2n0560nmFhkXHqjMLkf5fUMoPPRye4kyd6hccgXGq0g=,41,30,99,99,1,20170314,20170414,0
2uTe7mzxvqzbjzsmP02zyRLGBbdW60qAbglhSndVexs=,40,30,149,149,1,20170305,20170404,0
3RGt4wcqMoeJBccANeRZulgdzq5eeugeR8GgQ169Emw=,41,30,129,129,1,20161222,20170519,0
3X+0wuLRklrQ492YhSLwAv/nmnnaBYZ5Kshv6WClkCc=,36,30,180,180,1,20170329,20170402,1
3t8s2YHdzik2r7VmXF9kRYkq4sboRGMK5sqjTP7S9Mk=,41,30,149,149,1,20170308,20170408,0
3wA8K7jy38i6z26PAdJyzjbTHlkbVwy2B/d5WcEpZbk=,41,30,99,99,1,20170311,20170411,0
4/dZHO7hT8EHAdsh+DLdX18Kaz0/WUQhHNXXLjbCRv8=,39,30,149,149,1,20170331,20170530,0
4f3siKRMt0tvCM7SLTfe2va5SJ/h2QJp1IfypY8Hvbk=,41,30,99,99,1,20170302,20170402,0
547TWEuPbuTt6HMlaMVT6XRr3X1E8RwKEovUL0z45/8=,39,30,149,149,1,20170228,20170418,0
5pNFbgq45pphpmhGHPsod3WLy+khKm7ZRKBp4LYT5ck=,41,30,100,100,1,20170323,20170423,0
5yU5GS4XIoljpWPRlMkmP2+LHLXmJQTo6flnrIeBCPA=,41,30,149,149,1,20170322,20170422,0
62I5vRpMxIW8GV1W9oW6FGg0fuW4eEAuYjmGwI+RMvo=,36,30,180,180,0,20170321,20170420,0
6VhJh2KJz8rTY7mdWYqNB1F6qAqTByDJ1si/UslIX+Y=,41,30,99,99,1,20170228,20170402,0
7WGcSDN+P5c1JAwwCSUMdeLvPc3s43lpT4lbrfXy22o=,41,30,149,149,1,20170322,20170422,0
9QtrHCE58OAski5R7m+6sAOQ3Weqfhpe6qxtKXLNaHY=,40,30,149,149,1,20170323,20170422,0
9zGjeiQEb0pVm8nB2MdYVwi5sRxwnDdjisESJ39xeIc=,41,30,149,149,1,20170308,20170408,0
CNDw8cuQtTpgl/JHRHLbZRqDa+5ml6VjfFJ3X5qPAwk=,40,30,149,149,1,20170308,20170410,0
Cqm3NEEFEEdDNGYcXqkuT+utrnBJdKUry1fO4Jem6EI=,41,30,99,99,1,20170326,20170426,0
Drw3nxAVQg8QoiavjMc0KWjqjFBgFzIdHXbroQnNrS0=,34,30,149,149,1,20170331,20170430,0
ECvO5jYz05o7kHYJxbHJdrRBv6nT7FsTSyhXU/IS9+Q=,41,30,149,149,1,20170317,20170417,0
F/KGDiDcBXC6fULiv9qhPL5HnjAJGQkw4mNTN3osw5I=,41,30,99,99,1,20170306,20170406,0
F27PyoM+JVIEfCmyCL1taKVzRBfPWVAXc3Q+jfn7g/4=,41,30,99,99,1,20170326,20170426,0
FHiSObMhWcv30IcYOv5hHW2eBFf484LUkzLY/2lzJPE=,39,30,149,149,1,20170228,20170429,0
FTLv6oFgmwPcxSliLtBynVuuDLZd+RESinPA6x5sRDs=,41,30,99,99,1,20170310,20170310,1
GMf3oS8WFlNPhfv03Z3U0gpe0kKTdXzyU5XShM1P+VY=,37,30,149,149,1,20170320,20170419,0
GinropogOTp6E6P/XvRUpFjk7Z7qY5+eqA0B+k79u1c=,29,30,180,180,1,20170323,20170423,0
HExEqfbBVhPuCBLQ7N0QdTiGqdgFHbPqw5/apl+gMR4=,31,30,149,149,1,20170331,20170430,0
HsTSs1GJDlEbJ3QizDMJ9MJqWnKFX8yOlJGZYodlZ0I=,38,30,149,149,0,20170301,20170331,0
HzwSsyiH3jxsebC4XWS7otSmPHlZ+PvS3ko3t2ieW6o=,41,30,129,129,1,20170316,20170416,0
J8kehXORuACx4LR32Br+DyK5g52WO1ZCo929bY61gp0=,34,30,149,149,1,20170331,20170430,0
JfhjS9vDfw1gprmGKpJD8T9rkiC4TSRRixuE7tSN5fg=,41,30,129,129,1,20151116,20170916,0
JqIM75Jk8/oFRAX4tp2fVzOrEhHL/nr271ELgEUdyRg=,41,30,99,99,1,20170323,20170423,0
JzKVwPgvhbrGhhORA1kNWrMn1deM5jgioRJhgVgR8nM=,41,30,149,149,1,20170310,20170410,0
KKa6OBLxhN8DMev1pcqMko6T5Lxe/bVLUUZPoaiJ07k=,41,30,129,129,1,20150908,20181107,0
KvQ5OsPn1lLMwlVFVD4i/w/vjjoGZ6XyAXjKvk++tdY=,41,30,99,99,1,20170305,20170405,0
LaSP0v0aOY4oB7rMpZGUTJyzZMp8gXcJcws0h48u268=,41,30,149,149,1,20150606,20170404,0
LavyBVoONn+s35ldplhTTD+AVBdKUepHUVSGP1RusHA=,39,30,149,149,1,20170331,20170514,0
Lg/+i/j2sz4M6btBA8kg2d1k6vfdNKkVH+EsUM5P+3I=,41,30,149,149,1,20170317,20170417,0
LiIYwi6XZ8P3XBrifn/3tPekiMNyYVZ6yfeRaZmyqSo=,36,30,180,180,1,20170330,20170504,0
MDr9lS5n83FwN3BVJKP296Sbd7i36Bdduq7EYySPs8Q=,36,30,180,180,0,20170324,20170423,0
MP70uJ+TE+Us4VvNNX8CyCLKXuEyjqWu7B0CxdcvXzo=,39,30,149,149,1,20170331,20170526,0
MuAEfjtnrSe+PIItwy78Xio4m7Qje1ye6ZLDSCCWNx0=,41,30,99,99,1,20170303,20170403,0
NEez9wBAedVmxeoM0wQgX7r8sme0OhoHUzwbZk0D3sU=,41,30,149,149,1,20151130,20170509,0
NVZzDEXJpI3dMJ0KMxFfUJgkxpcxhn7IwD33U9VJslw=,29,30,180,180,1,20170308,20170408,0
OPYsILmq9/xwtsOHoxgOQ2oXfNl/zsTj0Q8xAN4nSEg=,36,30,180,180,1,20170330,20170514,0
OtAkuNtJStoPklmn+cPwCtwML4Jro7++4jK1R4gm1ZU=,41,30,99,99,1,20170310,20170410,0
PCttgEMMCGdVYIBhjIUoVu76Qx+EyEgbJ/JcGRCxkjw=,39,30,149,149,1,20170228,20170414,0
PWzMtXdzooh4jpkr3PTnV9aPRegN5PLbgRQryLrUD/A=,41,30,99,99,1,20170315,20170415,0
Pk5NWDeEVR4/1tZTyeVyNLTyvh2MY9Kr0xoTwscqgh0=,41,30,99,99,1,20170312,20170412,0
QvlAiLJov84uq/bonz0aMrEWGcnoW51gsL7XGoEbDy8=,39,30,149,149,1,20170228,20170405,0
R5F+VEAKYUpr4o6mYma673Juj547Tw8UUsk5Onk2nwk=,41,30,99,99,1,20170320,20170420,0
RghM92uClz2gMJ7y/92ZaiWV/bMinKiRPG+2QK4SCYs=,41,30,100,100,1,20170304,20170405,0
SIyynlcjSuXshXf2AFX6jJDFl5LMl5M5pEBs7plVXgs=,41,30,149,149,1,20170306,20170406,0
SrrXphtaslg8B43al/aKe3HtE4iHR8QVetK4fOsJINM=,41,30,99,99,1,20170331,20170430,0
TP9NHfjYBy13XdbIitEdlARpP5xEAa8hH7QnKi0TMH0=,41,30,99,99,1,20170331,20170430,0
TbA5HBleiAlT2HlADsDV7tB1x4ajPTUWsuVsWt8lNnA=,38,30,149,149,0,20170301,20170403,0
TgIRZsPlUB5dkPA2e3tCx7h990A9zBesuYCc+6QMwHM=,39,30,149,149,1,20170331,20170517,0
Tt+XpwR4WAnW9ohJ7PVpbM1hSO6GL9eXu3MUWY8Jue4=,41,30,99,99,1,20170326,20170426,0
UEMGkPjr9cCJkRdUXRLT5b6euO8TU4FFhOqluy/9rNk=,41,30,149,149,1,20150314,20170413,0
Ujx7cGY2e9ubaiq4ULoo8oKrcGFjMKDwubY+qvqYA44=,41,30,99,99,1,20170309,20170409,0
VBpOOXNdSGN7Lux8INDHFKbvJbKbukGxlQyz+rMSwhE=,41,30,99,99,1,20170331,20170430,0
Veh06EiaUKreMS1k9doHfEK+5LRWQNhUFkl5eIRzaj0=,39,30,149,149,1,20170228,20170421,0
WPAMqwRkN5xvOM0o88oJD82X252dfCtycrlXm2EMJ3U=,36,30,180,180,1,20170313,20170412,0
WhDGj5Bp6yfE7SsyoEEetYuRAaEtGesyayWA9ryMKek=,41,30,99,99,1,20170316,20170416,0
YxLrw8bexgGmPlNkXPOIhN7jROY4inGgb57cc7jBh0c=,41,30,99,99,1,20170315,20170415,0
ZbWKZehIXSY4hid+EwP9Ok4B+8gBLczH8mA+6vVJ2Q4=,40,30,149,149,1,20170306,20170409,0
aKxwvo4V3JQD/A3cYOZXq5begx+BOxkAOafdyVP+sYA=,40,30,149,149,1,20170313,20170413,0
anrODOqRpnZKq6F3hFQTGD/ZmfDp5UMFBw4h40xNuZI=,41,30,100,100,1,20170323,20170423,0
bUdnwmCcZRaniDetEyqzRwm52fFk/BQYsa7dhcrMvs0=,40,30,149,149,1,20170308,20170407,0
bWjgSzyITBCcpiOdYVj9VuYcmygQlKwkJcUd/OBR27k=,36,30,180,180,1,20170316,20170415,0
czkZHohDRfvM14f5419qRfb2W/pUQojZ9cnOlMnjA9k=,41,30,99,99,1,20170326,20170426,0
dI6m/qBL0faGDO+h/lu4y9VUnNDuszpiAnhAl903YVU=,41,30,149,149,1,20150822,20180324,0
e6MEfeAqegI3KNBQBn8i9Js+dCSZZ+ODzhpbAdJ1yac=,37,30,149,149,1,20170301,20170402,0
eh6QYIuXvzbVrJxYlufEUUPV1qnupQKl2Y2h9PjKAag=,41,30,99,99,1,20170323,20170423,0
fbLao7ZSuLOCaXpjPBTi17Yew+ga5wfI9C6K3wU8S/o=,41,30,149,149,1,20170315,20170415,0
hQwq7eWLh04U+RsQHg0UfHD+06LLqUrOTgune6vwEk4=,36,30,180,180,0,20170205,20170406,0
hWG9f3+KDWowwTmXFwzHEnxtjaZsjckSB9MRdUWG9f8=,41,30,149,149,1,20170317,20170417,0
heM6sr+x9p4xGsh7dyGGLZw18wx7WHllnVWqtSOffL8=,34,30,149,149,1,20170331,20170430,0
hmsGYDt7jR2/ZEvGu+31E6ZL8FUnWvCxBv5RjYsrjA4=,31,30,149,149,1,20170331,20170430,0
hs9L5IpGSR0fdGCYz5Dg/KMLW25FaTKQZ+ufh3AubgU=,41,30,99,99,1,20170319,20170419,0
htQQZxHDsp9f59ydA5PFMSIPdoJQNp7YddP5YTWnqM8=,39,30,149,149,1,20170331,20170504,0
i/eJol213Kg/VTPW/cxb2/WuSqvw169pFBpk0IUuJhU=,40,30,149,149,1,20170319,20170422,0
iJ10Kc4R5MohUaBtstthE6S3djCH0fzF+qs8evLEHcQ=,41,30,99,99,1,20170308,20170408,0
iw9nUIMYUR2cWTF94wL+OakJjqgAuXSen4u/h+3WFUc=,39,30,149,149,1,20170228,20170412,0
iyxG0EYaJXzQmMb2g6WGnHsMqmPHe41iaE72rh3zO60=,41,30,99,99,1,20170228,20170413,0
j62MDzXhDXa76rqvVpE/Ulkv/hGzsJv9HtoQLF983Ws=,37,30,149,149,1,20170306,20170305,1
jJQjbuWkHslR0MjIyKvIXs96mCix/YRym7Yo6ZI0nbI=,41,30,99,99,1,20170304,20170404,0
jOyysnYYUQE8feIN5LchrZOUIWqyA0hg+aOYRFALtCY=,41,30,99,99,1,20170312,20170412,0
kETbDYiVMk3iVr4bbV064cW/aar0GNk0aD5FDa1s6d0=,34,30,149,149,1,20170331,20170430,0
kiJwrs7FZiSAWgj7f6lA2hMctWd6pP6s2pDThs7A9TM=,41,30,149,149,1,20170321,20170422,0
l5/jiCkaTuZPEC+xwABUGvyuXlqvBrCGwdrEBembNak=,34,30,149,149,1,20170331,20170430,0
l6ZSHeQaHh4zrJ9pGaK39hTANgX+puE+LUaCo6FnIt8=,38,30,149,149,0,20170318,20170417,0
lMnmJyayMwqHAkC5Fh7mplQOudS9ZOazkSZkGiCenKY=,39,30,149,149,1,20170228,20170422,0
n09TeYAyKagUY3xtHNvnKj93pD4w3C7sCHndywyzA0Q=,41,30,129,129,1,20170325,20170425,0
nHjbUXqrO2ZkUVT8IeHaj82VXaq7+8dgXgNBZNGURSQ=,41,30,99,99,1,20170331,20170430,0
nMkqoK7cxiyaMS0ui78PJ+KeDfl+Gzvg5GqEHmetuHg=,41,30,149,149,1,20170305,20170406,0
oUouxEm4+u+dIPdjgqwkMpVhxNU1usQO+q2txLNLVpI=,41,30,100,100,1,20170304,20170404,0
p9IBcrLdpbzIfrroEWWCUE7EYj0tFNXMZmDIovTzGbE=,36,30,180,180,1,20170331,20170504,0
pfBqg130IYL4wW698E2zQd/0+xFp6Vx7XrUUS8Ph7+M=,30,30,149,0,1,20170309,20170408,0
poxsEKPTILMZAcPvzRuq41TYS14wxYA9uu5sp7TZ3e4=,41,30,99,99,1,20170314,20170414,0
puBJWtT8nlwewjsRwXzoID6HA1pmxqKD9LJN+/RfDUk=,41,30,149,149,1,20160919,20170710,0
qlDdIAXQjPSLyjFdXUdF+SbF60MRn0RV9P8XwPPc+/E=,38,30,149,149,0,20170329,20170428,0
rz+R0TpKLxGGBYbyGR7GUFWCjOe5FZT0TACMj7WuERM=,40,30,149,149,1,20170327,20170426,0
s3tTTtfB48c0ZLWRFKDdVMrbajbBsba/YYDi27XioE8=,26,1,0,0,0,20170228,20170920,0
