,msno,is_churn,city,bd,gender,registered_via,registration_init_time
17,qCs4ZJ7/LcnDQ1aLk2lmflWnyiuaYnxeyGmYKYznTYc=,0,6,35,male,7,2010-03-11
18,393r00cPuX+sMlbtAOIL7G4ujrHSpvq9+HYFKz0dC3I=,1,1,0,,7,2011-01-12
19,O7tqX4NAl0ifpRHqXlN41jftvxwLUHZ5o9/3DyWmjK0=,0,1,0,,7,2011-07-06
20,wDrwFhCGwoDBR1W5h6qGZS1lTzXGPsKMCIj0br+V5EY=,0,13,37,female,9,2009-10-12
21,qR7q8GPWWzbJZZv5Znac9uHX0vOHYwA8pfDKYVcWOyw=,0,13,34,female,9,2010-12-10
22,JZrSahiIlsXusdqQCM7FfajxbHSc+5sXk9EC59mMo+E=,0,15,32,female,7,2014-10-28
23,Oi/XAS2J3ck1hIikFfLuD9Sd8VSisEtoeRHNaTc0K/g=,1,1,19,,4,2017-01-25
24,PlwMbQ4YajEbpVjK9Ng423iTbaMJ9sg+LwVmbnoLa/w=,0,10,30,female,9,2010-06-13
25,1nBqPXzp008g2lfpWUsI2YOkRbC9FkZVsuunvd9x7WM=,0,22,0,,3,2013-02-02
26,ef0G/oeMWrvR7e/tm6imwfNIM+gC9Osf8P5qxka/YAE=,0,1,0,,7,2013-08-22
27,hHL+iKxDnubLoV610xHgeiFRZ/G8v+dj/vS8Kzkg2BA=,0,1,0,,7,2013-12-15
28,4X1XhDxJRR14doRQ2wrOAopFZxAkwfIfm3xfCCpwYdg=,0,1,0,,7,2016-08-18
29,TqyuelhOShH9DR3CJyp9twfDI+Vw2HxqUkEmUZwBUwo=,0,1,0,,7,2014-01-18
30,MspDVszmgikfll0wem5pjCzwTvvT/JIysh4xWkebANE=,0,1,0,,7,2016-10-22
31,0jI8+ee3sMzDy2xiuWpX4/v6rev/tFTOB9ooI0ZHUSA=,0,15,30,male,9,2007-07-31
32,eXwE3U37JhYlQ7J4yHeD2o3RrYr6MIkC2MNc6Gezvw0=,0,1,0,,7,2016-04-07
33,4OWx4JS/icafalIrlCiHV+ZVjlbK5o5Bcj0BQUtCrCw=,0,13,58,female,9,2005-09-23
34,mj4RTjuOsuNlFnXJLvFAQER58LW+FtmziwiPWHHFzrs=,0,13,34,male,9,2006-12-15
35,Q2txJWLoKRxTITdHVhOyel7jeidZxtIE7+/wGEq8IvA=,0,1,0,,7,2011-07-17
36,keDNOcPuhGIVsPK/oMjBU56SXl1q/6pCuE1GJsgiDgk=,0,1,0,,7,2016-01-05
37,+YGoS+Xli8/Oij8IWnv8HzL5wZ9LGu+M+SdXSLNzFjE=,0,1,0,,9,2016-08-14
38,q0CxOK4EUegCAS5J21qulHxikK69uS9F5lGMEWry33k=,0,13,33,male,9,2012-01-10
39,lVTGsMPiOYA61K2xCycShkmKq82Uiy4RLBvhJ53+Xyg=,1,13,44,male,9,2004-10-22
40,6gUx5f0JZ0ahnUdFWQmtsY8Uc0fqIhBuqbcRm9MOZw0=,0,5,26,male,9,2009-04-03
41,dXDIQaiq4IuIkTZME/QP1Q7PiXA/XXoYNbfzm6ynC6U=,0,6,0,,4,2016-02-17
42,gV1KBTWzlfvckWX/Zug6tYkiihZZ075bw+7iLlHey1Y=,0,1,0,,7,2015-07-04
43,z1Sa/qQhExJZwjA3GoHwvz7sKtY4xxT1uphaCvsDSKo=,0,22,27,male,9,2008-02-10
44,LyL+4cLL/aEORQpPykfwk5YZ9k+jVlXB6IwJrNXrRE0=,0,13,25,male,7,2016-03-04
45,JKppg24oB0ke0onRsbImGGK564vRuQDfj0Bb6C8x6B8=,0,13,55,female,9,2005-11-01
46,MMcQvtIcrvhKKTWPBzy2lnJuwH3L2kQXX/PIht6tYiw=,0,5,33,female,7,2010-07-19
47,j7iixc+ugmNR4/0U+vX3wwkae6jEbha1qpmfg/mYZKI=,0,1,0,,7,2015-08-15
48,cddLemYP3fzb2Rn+5fkvL6eYISUI8JNKwaMblsCdEp0=,0,1,0,,7,2017-02-13
49,L84I0wepbllyHX3qcFHkzkQgj+WHRq3PJAHQBMkhvow=,0,1,0,,7,2013-10-27
50,oZRL16Eju0oz7fgvFUrF4euQ08XSa/FlLuRBldkneBM=,0,4,0,,9,2014-12-29
51,/ZIRVqF3BxqohhfXLc5m+S9YvwDU5WjPntG7hZF78Sk=,0,1,0,,7,2013-12-11
52,VPzsn7dcPO5AO/GdGCKmkQ3/1wzS7OsbpBo7J63VfNM=,0,1,0,,7,2013-08-05
53,MWRwO0cbEyLFCD854ZPuu+8JQ6XLQ8J3GBAWpKAoq2s=,0,1,0,,13,2017-02-28
54,/zsIHgcRLl9DQdg5W591o7ddvZnLKuDClQ/utNzLjv4=,0,12,31,male,3,2014-12-07
55,EJ5nUceiZ7424lpgwJ3u88fK+UROvoYIPtzbeAmuBGE=,0,13,39,male,7,2012-01-02
56,qO1u5I+EcRJNJgLyjds1g7ojOB1TxrS02IE1YP2izps=,0,1,0,,7,2013-03-26
57,wXa0eeG++R0uIXV8lo+MByXZt5u0go52FCUR4rCrEa0=,0,1,0,,7,2015-11-28
58,yJU0IicTRNm9ptDbzuLOk1NLANfge/6BHNi0dfgNJ/c=,0,14,0,,7,2011-06-15
59,AwZgKGI/xTEyqcG3b7Wcy5bz42uuzwUKjq9/ehTLjmg=,0,1,0,,7,2012-06-19
60,Cswh4Y28r8jrGwFYa3TzJskWjSgy8pVOPv6Ze1q5UVQ=,0,1,0,,7,2017-03-16
61,7ld1hQe7eG4BBAegqdXQR424U9FcgArpmCt7Ovzz1UI=,1,3,21,male,4,2016-09-02
62,lhfAAH2XvioUq0fGV82O36XzFrdaK++pMHSc3Kc0MnY=,0,1,0,,7,2012-12-20
63,xORhV0lhheoc5awrrHh4PE3E6RYDB8+4Vi18YcOeOsw=,0,6,38,female,9,2005-10-06
64,WaRZ1XH31efNmgC9YvBiCv27kJpmWAEShBTWdxr7H2Y=,0,13,29,female,7,2012-01-16
65,xKci5C0EPsxznGnJtYVSwiZDxyYjnFYKGR0gm90Jy5c=,0,5,33,female,9,2013-03-10
66,0wCO0Y+lorqNQEHtf42kzd1nc8/7Ly9eoliGi/Za8N0=,1,1,0,,7,2014-01-11
67,L3SJQsD2v2HcjEjlX11pnAwO7RSeqG28zWw1SOpMCE0=,0,1,0,,7,2011-02-26
68,UFbjXLrFIZIscFw4cK4e2K3r7iJSFO09EzbnwWR4dM0=,0,13,27,male,9,2012-08-11
69,ZnXAB9/9pm902IxJ7ZFVrrSjfzJwbMSt89WXIMldYDg=,0,1,0,,7,2016-03-14
70,EeAliKifkjjqCb34LSjS1dqmhh8Ny9Dis9p5HMqd6n0=,0,5,43,female,9,2011-06-15
71,jCP3T6Ij6hMhmOGHSvF/L7cz7Oj6viHT5vjPeJH1l0g=,0,1,0,,7,2016-07-27
72,R2YR7+PNOQp+ENEprkIkD1ns/iuO5Mo6jvdos+BXI4Y=,0,13,25,female,9,2007-08-26
73,Xmia2cP5uoIixWOwtEnxTT7afjYZfeElmsIiAC7ZZAA=,1,1,0,,4,2016-02-11
74,gpP/TlEwi6zhimOAlTqZPkjEEeie0GILtwgvh8WCa04=,0,12,19,female,3,2012-11-17
75,OBSj3c55LsErEqRpzns2kUk1lwdKTNzL8stWj5WYluU=,0,1,0,,7,2013-01-19
76,nHuX/ZGmPt88T7UEQ+dAA1OPBHnB8gThZfYliNlr7fE=,0,9,30,male,3,2012-11-03
77,tZNx0fSinXQaUnkjalqz8gQY6J/Yr+3tl//sb6Toyek=,0,1,0,,7,2015-12-26
78,IaqQD7wR2R9FmwcTPPcN7XkTjUg5Nevtdq3rP0rJO7Y=,0,6,29,female,9,2010-02-18
79,+Lmko0Vrb6qDKx5+wP+rJfjKpkwFnpZmw762oC125ww=,0,1,0,,7,2015-12-16
80,VZQLmNN4AbG1emUfx7ajF+4ZF0kYa7mEhGFcUReFLS0=,0,1,0,,7,2016-02-12
81,jOyysnYYUQE8feIN5LchrZOUIWqyA0hg+aOYRFALtCY=,0,1,0,,7,2013-11-22
82,mmp2DhOJ0ICM3TItesDCUWA+/18Pp0gIqMPT8glWdJg=,0,1,0,female,3,2015-01-29
83,aLFVCq4ADl8K/MlgH7keA0iNSm1bs3z2Nt2dEdGKVTA=,0,1,0,,7,2015-07-09
84,RPPYrg19I/fKJutMoZx5vacc6J8fwEOX1f8/y/TDakw=,0,1,0,,7,2015-08-21
85,bbh3W2hGom4gpEdJdfixD89bPOopQ0qddHx0kGfpdcw=,1,15,22,male,3,2012-07-14
86,6pLvTCVj/nK1EvKjKoX6p+eB/Peuzwi6HbLdNrpi13A=,0,14,32,female,9,2009-09-28
87,SWf2axwHnJzD8aWnZkkORaceBRoEQvgBHkt7J8Lngfk=,0,1,0,,7,2014-02-18
88,RENQAYiM/E3Adr/XIU0tho+lSB7SAbP5XGXv5h60+ik=,0,13,26,male,9,2010-07-06
89,NdOKDg2mqbwB28URQzj0XIndubetULh9RtdFR7BPhQA=,0,1,0,,7,2013-11-06
90,+2CwQmrxlxFlctnar6704ie1Jh6DZ5S93y22b1S7I5s=,0,4,24,male,3,2012-01-04
91,YVbjpu8Vc3DF57S7lMFdlNGcltwFCeM1OxlU4jY/aTk=,0,11,28,male,3,2012-07-22
92,IxTN/CIqkhWIeooGXPUSsdIV407HaqmBoP40cqP3TIM=,0,1,0,,7,2010-06-22
93,f8PXYWAG5GrA3wuvJj3brmPhMbVZZM6NYBh7Lhg3fxM=,0,9,27,female,9,2007-02-27
94,umkyvB1OIgBPuZ3AWiFVTA/mmikyoXJ9rrOyKhSLzs8=,0,5,34,female,9,2014-03-21
95,Jqr1+8nxcBMcLazmUFQ7oe3OBKE35XxAMn140MYDEz8=,1,6,23,female,9,2016-08-18
96,pCmPO7rbxTelLz/8Hnc3gK2BpPqcVqdC9hxBr3mWQYc=,0,20,29,male,9,2005-07-27
97,xl6pUP2OQ97Z4FPtxmgY8NMc7l4STqo1fuXlsUvVbLc=,1,1,18,female,3,2016-01-22
98,P989tCbuA9V43e5gWkNK/mUcBUJEAdqnNmHR9rM672c=,0,13,22,female,9,2011-04-13
99,Yr1NFXpJsugYM0D8LQIcTXVlu6NT5GeMqbllo4bkGck=,0,1,0,,7,2016-06-16
100,Z/CWZWKjakchP2wBEdCZlBCeba3gJDVBvBO/NkXeKuo=,0,6,29,male,7,2012-07-04
101,XN9IvuZUxyIzU4PO035b/QVLVXEf6Z7xYj0evGbpGnw=,0,12,29,female,9,2007-09-16
102,S7mq7lSArDzS0qlHry6PgkwSCw2dkLtqP/ZrdXjzTAk=,1,1,18,male,3,2015-12-15
103,j4Jm2gZWQntrMUQQiTeBCCVdfA9FlBOMxklbkt/tAlo=,0,13,20,,3,2014-05-21
104,qBb4MMHDxa+KEPW88m9rvgvgPFwNz3hUKp4AgcZgBd8=,0,4,32,female,3,2015-04-05
105,8o3ZIo3KNyeJ/OfmtrSc0Fj/Y8PGzmsvjGkCPvHky38=,0,1,0,,7,2015-09-02
106,HN5BbCoYUmKZ7BfzevD/z1oXp78xwayH1JQAbrWhwRU=,0,15,17,male,4,2016-06-25
107,T0aCW21v2c8cmvBvW8PMCorsBDfQUgNUwF+dE1Nwq5w=,0,1,0,,7,2016-06-15
108,8XFtLQ/9ShOM+evTGAI1qz3PCbBy+whJV8UkbeULu0I=,0,1,0,,7,2015-07-11
109,bEIeJwhOckdlsf0sym64i54+bhJMhCvaCnuQNsmynyE=,0,5,26,female,9,2014-03-18
110,hrywF59nTibB1k/JaQldvtiu1ozZcJKB3+DBPDjM7iY=,0,22,22,male,9,2011-10-16
111,vs4mH2OirliaIlxgdXSpNyQevmx5FPuLJDmmz7bScaU=,1,1,0,,7,2011-01-20
112,p5JxtwW5zDQWBmfw+G1dVWU3qCdkZ0Gsms40UdjU23M=,0,1,0,,7,2016-12-27
113,n6ti/lGUidaacNwriu0wbAzMoc0NcCg8tO4lljkHPc4=,0,4,21,female,9,2016-06-13
114,x11RVs/t8r4zJlPobwXcJkrOk9Qn40wXhn8t1gluhCU=,0,10,23,female,7,2016-08-17
115,GBhUkHolQjO+cP5wK60e/mbBzjoMY7PzfhckREX3tOs=,0,1,52,male,7,2010-09-17
116,1+t4yA54Tk2Fiw84iAkXlvIU/DcbtogNiDDZ6Ub0oks=,0,1,0,,7,2013-07-26
117,SH/afMyiVjkxtzwYg9F9nU1y669TT9YwWwlT0BtOnAw=,0,1,0,,7,2014-08-06
118,iOYXtb1s1B1kEADFX0yQjIDxPJRF4QpQgzGYqLR211A=,0,5,18,male,3,2014-10-19
119,re2GKBY9iXmnEURNtDQYlRAEN9TYfxVZ33QYpwFOgU8=,0,6,32,female,4,2015-11-12
120,U/e8enyiT9dUcTDrjj7J/LsjR2zmn/OHLijLSl/1PEA=,0,5,26,male,4,2016-02-12
121,8aeJ7vbA2kOUA1Gprn6Q/9FQhky59ReWYVk2O3kjTG0=,1,1,21,male,3,2015-03-19
122,AuyF8Rk4r9CVtwb1vVy2ye860M1qhhsKsMbOMGKrlZs=,0,22,0,,3,2013-01-05
123,BwDPjDjmXQ5CnjETcktv6Xbgh8WUj9zci4ahvZ10sU4=,0,13,29,male,9,2007-03-15
124,YNHZzmcmCUqXaMvTnWzTi03evVx9E62zlawRggjw1wk=,0,1,0,,7,2016-04-24
125,8+7kDBjTpBAZmmmM3n/909GRQdzinhmCJ5icKEG7sEI=,0,13,23,female,3,2012-11-25
126,6vSHQ5IZ5lmu0S+rg26FdAFrj4Gp8FLUw/c2N5gfKXA=,0,1,0,,7,2013-05-22
127,EwMLQ5loLjjWPWn4b3019Cy/LjpqvK+BCYB3zch6IIs=,0,1,0,,9,2016-08-05
128,8wRj8lP3mh+K9P5ngadKnWWGC3IyerXn/yqqaPZ9ifg=,0,4,36,female,9,2006-11-09
129,w07kHjrdMBZ2HHckVYwXqxbb668sYQ31mFgYDFEI23Y=,0,4,37,male,3,2012-09-02
130,hW4BDusqRhUZLEB8uX6bc9maeBoLzSEr2qe1IspvXwE=,0,1,0,,7,2017-01-17
131,41kfU5TxBosOjlqaVUIPXI8pEH7M/oAOV7mMatje9LI=,0,13,0,,9,2015-03-07
132,DfqBrRO1h/bw7wgVSAn7DMVnpv1yNkzQ+aXQn0nKkak=,0,5,32,male,9,2007-04-05
133,0y1gCDPyTXddag9f+cXOAzVIfoS5N0bylhlBpOCVOqM=,0,4,41,male,7,2013-03-05
134,TUydOaf/lOe6efrn2qcXYqeRVEjsdGy/IyAS11KxZo8=,0,1,0,,7,2013-12-26
135,sqARdQAKmacUPlt2Ka6SFXZT2ehupRGL4v82ZnM1Kr0=,0,15,29,female,3,2012-05-25
136,PbbhKHHi3rQ1Y6W052LprCd9zWwm9bVcmWNbn5kskMo=,0,1,0,,7,2016-03-24
137,0QcGzeIuIKUNogbMR3yHUEagAahNxLIw7XZ/cZkckNk=,0,1,0,,9,2015-05-19
138,7b/Eugllk7VqrfyhNdUYMLwCiW8cWQI8zmHjv28xqaA=,0,5,36,female,9,2005-07-06
139,AX24NQCacSy4jnw7tmL4CKPt6M+KTyrpJ/SFhHSPRFU=,0,4,33,male,9,2011-08-08
140,KulycsINCKB/Z6d/hWOzKzEhlw/wge7WhP++h0xLGuY=,0,1,0,,7,2015-11-07
141,P3fhGf20o7wg7hDAMaNyCFCCdH9Hn56Qj5NK8UKwleU=,0,22,0,,4,2015-10-26
142,RR8dR7cvPxLT8Mx5Qsiuy+peVxJ1PoRRFMqr7BqXSm8=,0,1,0,,7,2013-12-14
143,mrpG0KkZzFhFoLu5pIA788zDvTRXu/uv+kwU6IoQij8=,1,13,24,female,9,2009-11-21
144,Z1vD1e1yUHiNGJ/S+C8m9QRp7vrDsMnzdoBYdKWhPjA=,0,1,0,,7,2014-08-18
145,/4NavPuBCsLUEvyE7BFofOKiJFIZFT6zN1/tzphvkvQ=,0,1,0,,7,2011-02-14
146,Tej2Laf5qrVFDuUFOkeNxYuLFw5j+i7fCiFRue1rOLM=,0,5,20,male,7,2017-01-13
147,bRVIcIS8PUPwYgE73Q483U714q//TvtcSSRcF7E4eBI=,1,22,25,male,9,2009-11-18
148,JDiN4EgtbvjLmDfF/Ql/HAnkNkLf56v/Jem7+78Xfss=,0,6,36,male,9,2007-05-27
149,Djzktno++VTEfS0KpjAVnzjfOUhwjxI/1tnCGbu3F40=,0,22,0,,9,2015-02-21
150,GkpFCahN4IENjMm3opDsRyaEHYEQSGHrDmlrQ3aBjXY=,0,13,29,,7,2011-12-24
151,fPXrVJqAIsoeXcyMjPYtBHBMBnkn02a13Fw3UStcXdk=,0,13,26,female,9,2006-10-15
152,bRMjXyRiQRYbRomyqgv03JAEF2LThPjJ9wJa6uwB4ac=,0,1,0,,7,2015-04-08
153,PevLKcydvxgQ4tDU7fi9IhKgaSQWArUBDXgIBqzeNwM=,0,1,0,,7,2011-01-22
154,qXTRPgx0nGSNWQplUqYdy/mRdBKtJ1GM/Bt6uGQWFSk=,0,5,39,male,9,2004-08-07
155,J7me3Snyd4E9svR1RAuSRxV2v8i6NdpugSonqZDLeKk=,0,1,0,,4,2015-12-23
156,6PRZsBtgEt+wdnERxMKpNOtVReslagPg3IPuWndo5lU=,0,4,29,female,7,2013-11-16
157,txC/BGa+YcQJuXiP6rA1yo8yQUGiNmunFpCdRhjHBxQ=,0,1,0,,7,2012-01-18
158,zMmFJSHZISa/6eYJLM2MPd70RNEip3LUlpZnuRaXCgg=,0,1,0,,4,2016-11-26
159,IxMVL2c47QTrfpRW4WXKCCrgsRJqu5JwVzOR04nWa1M=,1,5,21,male,7,2013-08-11
160,55k71mus/sjo928AbRJO0X4ZXIIUcSvObpSrdw0bjCY=,0,1,0,,7,2016-07-16
161,dTgztYYTenEwUgzq3/oI+EJWruvHOyIDSTS+wZoHmDI=,0,1,0,,7,2011-01-26
162,b5QwumznJ83acy6VQuvvw9uAQDqU2VZWnzt4EQTwGC0=,0,1,0,,7,2015-08-28
163,f07UTstvmaMTgoAm4XAscRrvTG9eyO/BwhoN1NgCXTM=,0,13,22,female,9,2009-10-31
164,jWPs3DAQCV+JMIj4/JCiYBFCthZWcFvMeAuP4+HkPoc=,0,14,29,male,9,2008-09-08
165,7G2lc/11m3PGgzvec49B0VLsRh1u7+FSL2E8uYkLR9E=,0,1,0,,7,2010-09-23
166,qdunuKakJA0P5t/JygzN4Q3SfXuUvwmM60hQ3h5/1VU=,0,1,0,,3,2013-03-13
167,DfJ/s4Kl8tx+DIoBHlKzfGgGwEJtOdgyNtmKBi73Fqs=,1,5,26,female,4,2015-11-09
168,ayqQo1/Y6c/EFh/DibAvJkJhNuUaJPaqIW/FdAJ7FyA=,0,1,0,,7,2016-10-21
169,9bY/GA8lLcKCvgEdG/nYo0o7XCSu8oMeCN6Mz07dPDQ=,0,1,0,,7,2013-12-19
170,ffEcZBAR8HoJiyxw4cbY+Itje20GwCsleMs6t9xZCQM=,0,1,0,,7,2016-11-19
171,lMnXo9SasXt52f3BeAFwNgV6ife1uTPPCzsKrteKDb4=,0,18,22,male,7,2014-09-23
172,4NWy6SLAMxYXIdQLE3/pgcUqLLiT2eVnqNSJ9M2OcIc=,0,1,0,,7,2016-02-18
173,Q1LPy6g9ScZbDEJoEfwycFjCx7FNnpc9pXGML+3tdhY=,0,1,0,,7,2014-10-09
174,kiJwrs7FZiSAWgj7f6lA2hMctWd6pP6s2pDThs7A9TM=,0,1,0,,7,2010-03-05
175,Kyssdehns7u+Gydg0VWEWzZS849Wau52CRMJbGcPc6A=,0,1,0,,7,2016-09-23
176,ozdOaIs2pK3E3hII85D6Suin7E53nk55McWuLWMtRhg=,0,15,24,male,9,2010-04-06
177,b5Zr2QlOcKaOsSvBwr0s3/OFOzL4jv2O4nmrk1RJ+SU=,0,1,0,,7,2016-11-04
178,3F8WZiMFkMgP5wcsxrAtekeQNyhDegKWmRp+94xPs24=,1,8,33,female,9,2005-02-19
179,EH7FWLnyL/4HPbKQKZRAk2pEwf4AjjADZed3UYS8G7c=,0,14,31,female,9,2007-03-31
180,82fT4pJKKVt/Qr/h5YzwylgUbmqfLdq4d7k8Z1S/ZQk=,0,1,0,,7,2014-11-23
181,vU1fQJylWy2A2DW6li3fLScwuyrQ0eyxktGxsOuF6Jk=,1,1,0,,7,2010-12-14
182,CFk6phmKNKhgOwg2kQa5VDaWvqirg0Ugu1KlgOW1Wq0=,0,1,0,,7,2014-06-28
183,VDQonpu5gjF9hE1FOnQ7lASTubo3B1SVBJJJHGqrQvg=,0,1,0,,4,2017-02-06
184,7PxPNbdvtwNRVaf6ef597ZSTbvcJ/no64xTFk3mqlFs=,1,18,21,male,7,2015-07-17
185,q7albZIav4pHvPUYl1RHjWoocqa9jCdl50hG4mo8ig4=,0,1,0,,7,2016-07-13
186,qWPE/2nSMGccUhx87F9lHjFhhGQAoCfTcVI6UU0HlBs=,0,1,0,,7,2016-06-30
187,oHPoQm7V+68I/ufzng9BNvMMaG0WFAQstQcjXiG0P2w=,0,22,25,female,9,2015-03-29
188,S5XrdT17w53Vg29Ce4QuszJTr+w8sAgx5qtVgF4M0C0=,0,1,0,,7,2011-02-24
189,yswBgK4g13B3/3uOfNL5Hr7Ntl//CiS8tlmm02qeAQ4=,0,5,52,male,4,2017-01-15
190,/QP/7DK2tHbHWwTL5zzWMDFw7hNY2lJ3jPuJHo3BMOA=,0,13,33,male,7,2014-10-08
191,r8lWSisbhBhZz7MsN5TOK4TCim60fvbp+N4Nz45r8Lg=,1,13,24,male,9,2011-11-21
192,PISlttacJcmSG7Tl4rdUz6P9jsJ3iKgIOWu304AZCSQ=,1,13,20,male,3,2014-11-23
193,J8kehXORuACx4LR32Br+DyK5g52WO1ZCo929bY61gp0=,0,14,0,male,9,2005-02-28
194,bo6yRNV8ZiOKic1SkUI/Le++LXv1nGXNjYYT6KBUtoU=,0,1,0,,7,2016-01-11
195,AjGkrqxqKsaqa9AK8k/iTivua/DM435Cmm57piH2bP0=,0,13,24,male,9,2006-10-31
196,sARSMqTSCQyYVJJv9ctrZ2AMGSBw2xurUaqogGmezls=,0,1,0,,7,2011-08-22
197,3nD8Li05I0yJ8be91JWbcqZ8NFigrEpquSS5u9utZ1U=,0,5,31,male,9,2014-12-13
198,SLuVYZnRtF79Z91Xg7w8JkzNeE7BwgqClUbI9Xeo+5c=,0,1,0,,7,2014-01-11
199,DbMbgfdIp7KkpXwo/+tbj0EDG1NTK5uBmXy0+4eigXI=,1,1,21,male,3,2014-10-31
200,xYeb2eb7l7sJ6a1n0nOHBHUY1OqeSJLkU29Hn7l+VJU=,1,13,28,male,7,2012-06-11
201,+/SqDTZQgXt/WkmxQjlswLC1KAEVGTBkC/GUUVyk82c=,0,1,0,,9,2017-02-03
202,IcCXSp/x8LYY8yejqC/zWl/ybcagvJTrjcrYqLDhg/s=,0,1,0,,7,2014-06-05
203,gRu7dpUiANfBTEX1CDwgT3hcUv1tYxkLomTjrgRu3mY=,0,1,0,,7,2016-12-31
204,8j+hz2nTppRbVf50BgzuIM62+1Ib0gqE13vjqI8r3r8=,0,13,23,female,9,2007-06-07
205,sHqF+km4W9JJuZG2Yi1zkos63lVX4kcRiR1VYkWRIxc=,0,13,36,male,9,2009-11-10
206,5P/T+LEdC/OgDVY03lCCN4Wj5F+K0C7qkpuy30K7nqU=,0,4,25,female,3,2012-12-21
207,9ZaSwaPu/NUkxGoZjoe/FxfmHYwACOdEdY7IEyxWb1k=,0,1,0,,4,2016-09-24
208,98x8OFWdP10mt2KjFAmaw0o+dG9JuO3Oz99bErI3jKw=,0,6,38,female,3,2012-03-30
209,CXWptyOhrxCpDFkufGsETNoGfUu1F5ZBns18waJlxrA=,0,1,0,,7,2011-06-15
210,VmJ8I7vCW+E7Aon6B1H38ZZhTfTdm4Kkn4wOVRbCgqo=,1,1,0,,7,2012-12-26
211,ft6JYU99qpLp+EhpHjvQ8mcH3xkmOjDNz8SnDlMlETw=,0,1,19,female,7,2014-11-25
212,qNJmhhGCL/vzMXOVz0CCTjPuh6vXCi/dXazTSIAVlN8=,0,1,0,,7,2013-11-17
213,2kkuu20+I79miZFafHSr+pSKlES6q9eYADVDKPEnd7o=,1,8,18,male,3,2013-01-26
214,9PNKWZO98zVoGQDYkUTf+oQPS6ejvcpj8BQBBnnwJ7c=,0,5,20,male,9,2009-05-31
215,Gi51QQ3gskd7+tn70Bq36wSUjs+Uddi+ua7hgndabmI=,1,1,0,,7,2016-01-04
216,27NYwm5x9ZsY6xu6y1ZEC9Ge66HC6Vy/4Q2+O6bCv94=,0,5,0,,9,2010-09-21
217,qYAIpjahFgtN5OZIwW7S6CSCOTwh84YFTKwsK8VeDKk=,0,4,32,male,9,2009-12-10
218,pBfHJpVLX+LDmCTY2kpT5T+FpZcogMgVwD0UyZRw3Ms=,0,1,0,,7,2016-11-10
219,qIrncqLHvdbNjSMvi87vgVPaElycfUEbM9t4QQdbPTE=,0,1,0,,7,2010-03-28
220,Tmn1qYQukPRPehz3amcCx1Bt51hcNsAq16hgqwgO6c0=,0,4,0,,9,2015-05-20
221,NsE+5BVKh7QOgUF6KLRVnDmA+apXJiflz/qdgj6ElYw=,1,1,26,female,3,2014-09-07
222,6q9fd2nkqizTcwRu4YTRVLrMN/CKZllqFdWmzaEmst4=,0,12,25,female,3,2012-11-16
223,gZQbiTzYm8LMMKoJpxoJPCVNqI/tarNYkSMW64kcFKs=,0,18,28,male,3,2013-02-05
224,YJid31XjjxKvoJAonW5rZ13EuRkcCMOWMiDoAvFb6aI=,0,22,39,,3,2014-07-29
225,EHTIxhZSoPfeBV7a2VXvljvyxqgEGUvINoX7BZqQ0e4=,1,5,35,male,9,2004-07-25
